PRACTICE_CODE,PRACTICE_NAME,LSOA21CD,NUMBER_OF_PATIENTS
F85002,MEDICUS HEALTH PARTNERS,E01001978,7
F85002,MEDICUS HEALTH PARTNERS,E01001979,12
F85002,MEDICUS HEALTH PARTNERS,E01001980,1
F85002,MEDICUS HEALTH PARTNERS,E01001981,8
F85002,MEDICUS HEALTH PARTNERS,E01001982,3
F85002,MEDICUS HEALTH PARTNERS,E01001983,1
F85002,MEDICUS HEALTH PARTNERS,E01001993,1
F85002,MEDICUS HEALTH PARTNERS,E01001995,1
F85002,MEDICUS HEALTH PARTNERS,E01001996,2
F85002,MEDICUS HEALTH PARTNERS,E01001998,2
F85002,MEDICUS HEALTH PARTNERS,E01001999,4
F85002,MEDICUS HEALTH PARTNERS,E01002000,2
F85002,MEDICUS HEALTH PARTNERS,E01002002,3
F85002,MEDICUS HEALTH PARTNERS,E01002003,4
F85002,MEDICUS HEALTH PARTNERS,E01002004,1
F85002,MEDICUS HEALTH PARTNERS,E01002020,1
F85002,MEDICUS HEALTH PARTNERS,E01002021,3
F85002,MEDICUS HEALTH PARTNERS,E01002025,1
F85002,MEDICUS HEALTH PARTNERS,E01002026,1
F85002,MEDICUS HEALTH PARTNERS,E01002028,6
F85002,MEDICUS HEALTH PARTNERS,E01002029,2
F85002,MEDICUS HEALTH PARTNERS,E01002030,4
F85002,MEDICUS HEALTH PARTNERS,E01002031,19
F85002,MEDICUS HEALTH PARTNERS,E01002032,1
F85002,MEDICUS HEALTH PARTNERS,E01002033,1
F85002,MEDICUS HEALTH PARTNERS,E01002034,12
F85002,MEDICUS HEALTH PARTNERS,E01002036,15
F85002,MEDICUS HEALTH PARTNERS,E01002037,9
F85002,MEDICUS HEALTH PARTNERS,E01002038,12
F85002,MEDICUS HEALTH PARTNERS,E01002039,2
F85002,MEDICUS HEALTH PARTNERS,E01002040,13
F85002,MEDICUS HEALTH PARTNERS,E01002041,3
F85002,MEDICUS HEALTH PARTNERS,E01002043,4
F85002,MEDICUS HEALTH PARTNERS,E01002044,1
F85002,MEDICUS HEALTH PARTNERS,E01002045,2
F85002,MEDICUS HEALTH PARTNERS,E01002046,2
F85002,MEDICUS HEALTH PARTNERS,E01002048,2
F85002,MEDICUS HEALTH PARTNERS,E01002049,7
F85002,MEDICUS HEALTH PARTNERS,E01002053,1
F85002,MEDICUS HEALTH PARTNERS,E01002054,1
F85002,MEDICUS HEALTH PARTNERS,E01002055,1
F85002,MEDICUS HEALTH PARTNERS,E01002056,2
F85002,MEDICUS HEALTH PARTNERS,E01002057,4
F85002,MEDICUS HEALTH PARTNERS,E01002058,1
F85002,MEDICUS HEALTH PARTNERS,E01002064,1
F85002,MEDICUS HEALTH PARTNERS,E01002065,1
F85002,MEDICUS HEALTH PARTNERS,E01002066,1
F85002,MEDICUS HEALTH PARTNERS,E01002068,2
F85002,MEDICUS HEALTH PARTNERS,E01002069,7
F85002,MEDICUS HEALTH PARTNERS,E01002072,7
F85002,MEDICUS HEALTH PARTNERS,E01002073,1
F85002,MEDICUS HEALTH PARTNERS,E01002074,8
F85002,MEDICUS HEALTH PARTNERS,E01002075,1
F85002,MEDICUS HEALTH PARTNERS,E01002076,5
F85002,MEDICUS HEALTH PARTNERS,E01002077,4
F85002,MEDICUS HEALTH PARTNERS,E01002078,7
F85002,MEDICUS HEALTH PARTNERS,E01002079,1
F85002,MEDICUS HEALTH PARTNERS,E01002081,4
F85002,MEDICUS HEALTH PARTNERS,E01002083,2
F85002,MEDICUS HEALTH PARTNERS,E01002084,8
F85002,MEDICUS HEALTH PARTNERS,E01002085,1
F85002,MEDICUS HEALTH PARTNERS,E01002086,2
F85002,MEDICUS HEALTH PARTNERS,E01002088,1
F85002,MEDICUS HEALTH PARTNERS,E01002089,3
F85002,MEDICUS HEALTH PARTNERS,E01002090,12
F85002,MEDICUS HEALTH PARTNERS,E01002091,5
F85002,MEDICUS HEALTH PARTNERS,E01002092,4
F85002,MEDICUS HEALTH PARTNERS,E01002093,13
F85002,MEDICUS HEALTH PARTNERS,E01002094,4
F85002,MEDICUS HEALTH PARTNERS,E01002095,5
F85002,MEDICUS HEALTH PARTNERS,E01002096,7
F85002,MEDICUS HEALTH PARTNERS,E01002097,4
F85002,MEDICUS HEALTH PARTNERS,E01002098,5
F85002,MEDICUS HEALTH PARTNERS,E01002100,7
F85002,MEDICUS HEALTH PARTNERS,E01002101,3
F85002,MEDICUS HEALTH PARTNERS,E01002102,4
F85002,MEDICUS HEALTH PARTNERS,E01002103,1
F85002,MEDICUS HEALTH PARTNERS,E01002104,3
F85002,MEDICUS HEALTH PARTNERS,E01002105,3
F85002,MEDICUS HEALTH PARTNERS,E01002121,1
F85002,MEDICUS HEALTH PARTNERS,E01002135,1
F85002,MEDICUS HEALTH PARTNERS,E01002141,1
F85002,MEDICUS HEALTH PARTNERS,E01002162,1
F85002,MEDICUS HEALTH PARTNERS,E01002181,1
F85002,MEDICUS HEALTH PARTNERS,E01002228,1
F85002,MEDICUS HEALTH PARTNERS,E01002233,1
F85002,MEDICUS HEALTH PARTNERS,E01002236,1
F85002,MEDICUS HEALTH PARTNERS,E01002259,8
F85002,MEDICUS HEALTH PARTNERS,E01002264,1
F85002,MEDICUS HEALTH PARTNERS,E01002276,1
F85002,MEDICUS HEALTH PARTNERS,E01002283,1
F85002,MEDICUS HEALTH PARTNERS,E01002300,1
F85002,MEDICUS HEALTH PARTNERS,E01002304,1
F85002,MEDICUS HEALTH PARTNERS,E01002307,1
F85002,MEDICUS HEALTH PARTNERS,E01002322,2
F85002,MEDICUS HEALTH PARTNERS,E01002333,5
F85002,MEDICUS HEALTH PARTNERS,E01002372,1
F85002,MEDICUS HEALTH PARTNERS,E01002377,1
F85002,MEDICUS HEALTH PARTNERS,E01002409,1
F85002,MEDICUS HEALTH PARTNERS,E01002444,9
F85002,MEDICUS HEALTH PARTNERS,E01002486,1
F85002,MEDICUS HEALTH PARTNERS,E01002521,1
F85002,MEDICUS HEALTH PARTNERS,E01002548,3
F85002,MEDICUS HEALTH PARTNERS,E01002595,1
F85002,MEDICUS HEALTH PARTNERS,E01002596,2
F85002,MEDICUS HEALTH PARTNERS,E01002621,1
F85002,MEDICUS HEALTH PARTNERS,E01002665,1
F85002,MEDICUS HEALTH PARTNERS,E01002670,1
F85002,MEDICUS HEALTH PARTNERS,E01002697,1
F85002,MEDICUS HEALTH PARTNERS,E01002713,33
F85002,MEDICUS HEALTH PARTNERS,E01002714,1
F85002,MEDICUS HEALTH PARTNERS,E01002720,1
F85002,MEDICUS HEALTH PARTNERS,E01002721,1
F85002,MEDICUS HEALTH PARTNERS,E01002732,1
F85002,MEDICUS HEALTH PARTNERS,E01002734,1
F85002,MEDICUS HEALTH PARTNERS,E01002736,1
F85002,MEDICUS HEALTH PARTNERS,E01002739,1
F85002,MEDICUS HEALTH PARTNERS,E01002742,2
F85002,MEDICUS HEALTH PARTNERS,E01002745,2
F85002,MEDICUS HEALTH PARTNERS,E01002751,1
F85002,MEDICUS HEALTH PARTNERS,E01002755,1
F85002,MEDICUS HEALTH PARTNERS,E01002764,1
F85002,MEDICUS HEALTH PARTNERS,E01002767,2
F85002,MEDICUS HEALTH PARTNERS,E01002770,1
F85002,MEDICUS HEALTH PARTNERS,E01002786,2
F85002,MEDICUS HEALTH PARTNERS,E01002795,3
F85002,MEDICUS HEALTH PARTNERS,E01002798,1
F85002,MEDICUS HEALTH PARTNERS,E01002805,2
F85002,MEDICUS HEALTH PARTNERS,E01002806,1
F85002,MEDICUS HEALTH PARTNERS,E01002865,1
F85002,MEDICUS HEALTH PARTNERS,E01002867,3
F85002,MEDICUS HEALTH PARTNERS,E01002899,1
F85002,MEDICUS HEALTH PARTNERS,E01002968,1
F85002,MEDICUS HEALTH PARTNERS,E01003001,1
F85002,MEDICUS HEALTH PARTNERS,E01003021,1
F85002,MEDICUS HEALTH PARTNERS,E01003023,1
F85002,MEDICUS HEALTH PARTNERS,E01003120,1
F85002,MEDICUS HEALTH PARTNERS,E01003121,1
F85002,MEDICUS HEALTH PARTNERS,E01003188,1
F85002,MEDICUS HEALTH PARTNERS,E01003243,1
